shot,signal_ok,primary_p95,n_elms,n_elms_lower,n_elms_upper,both_live,coincidence_frac,elm_freq_hz,median_dt,mean_dt,cv_dt,min_dt,max_dt,weibull_k,t_first,t_last,window_s,t_lo,t_hi,dt_s
139057,True,1.1299999952316284,11,11,20,True,0.8181818181818182,17.65083526607684,0.03640000522136688,0.04145999848842621,0.7482440242959388,0.0,0.09060001373291016,1.5623658953114452,0.2637999951839447,0.6783999800682068,0.6231999695301056,0.062000006437301636,0.6851999759674072,0.00020003318786621094
139058,True,2.022749912738799,16,16,30,True,0.9375,19.55512100614345,0.03319999575614929,0.04016000032424927,0.9216907721212253,0.0,0.1401999592781067,1.351852047788018,0.31360000371932983,0.9160000085830688,0.8181999996304512,0.10280000418424606,0.9210000038146973,0.00020003318786621094
139291,True,0.5550000071525574,24,24,0,False,,33.717338021093454,0.014800012111663818,0.017504348703052685,0.7911594242073693,-0.001999974250793457,0.052799999713897705,1.5417925259173408,0.3449999988079071,0.7476000189781189,0.7117999643087387,0.03840000927448273,0.7501999735832214,0.00020003318786621094
139292,True,0.7304999589920017,20,20,21,True,0.9,35.85514673553792,0.007799983024597168,0.017000000727804082,1.4854162565787867,-0.0004000067710876465,0.09379997849464417,0.6994302001942081,0.2581999897956848,0.5812000036239624,0.5577999763190746,0.029400009661912918,0.5871999859809875,0.00020003318786621094
139877,False,0.17999999225139618,0,0,0,False,,,,,,,,,,,3.2421998884528875,9.313225746154785e-09,3.2421998977661133,0.00020003318786621094
139878,False,0.19999998807907104,0,0,0,False,,,,,,,,,,,3.242799988016486,9.313225746154785e-09,3.242799997329712,0.00020003318786621094
139881,False,0.12999999523162842,0,0,0,False,,,,,,,,,,,3.2469999697059393,9.313225746154785e-09,3.246999979019165,0.00020003318786621094
139885,False,0.13499999046325684,0,0,0,False,,,,,,,,,,,3.2611999418586493,9.313225746154785e-09,3.261199951171875,0.00020003318786621094
139890,True,3.90699996948242,16,16,0,False,,29.250456726034038,0.006999999284744263,0.022399999698003135,2.032032225379051,0.0,0.17319998145103455,0.5970802208471228,0.2809999883174896,0.6169999837875366,0.5470000058412552,0.14600001275539398,0.6930000185966492,0.00020003318786621094
139891,True,3.5524999499320984,12,12,0,False,,18.95734593229256,0.02499997615814209,0.050381817600943825,1.4358878663763934,0.0,0.2621999979019165,0.7299759512283591,0.24000000953674316,0.7942000031471252,0.6330000013113022,0.18960000574588776,0.8226000070571899,0.00020003318786621094
